Datetime,ProduceType,InputLevel,SpendResource,Type,ID,Name,Rank
2022-06-22 21:02:51,EQUIP,SPECIAL_OFFER,30/150/30/130,SLUGSHELL,77,BK Slug,★★
2022-06-22 21:03:01,EQUIP,SPECIAL_OFFER,30/150/30/130,SLUGSHELL,77,BK Slug,★★
2022-06-22 21:03:01,EQUIP,SPECIAL_OFFER,30/150/30/130,BUCKSHOT,73,#1 Buckshot,★★
2022-06-22 21:03:07,EQUIP,SPECIAL_OFFER,30/150/30/130,BUCKSHOT,74,#0 Buckshot,★★★
2022-06-22 21:03:07,EQUIP,SPECIAL_OFFER,30/150/30/130,BUCKSHOT,73,#1 Buckshot,★★
2022-06-22 21:03:13,EQUIP,SPECIAL_OFFER,30/150/30/130,BUCKSHOT,75,#00 Buckshot,★★★★
2022-06-22 21:03:13,EQUIP,SPECIAL_OFFER,30/150/30/130,FLASHBANG,235,Shotgun Flash Shells,★★★★★
2022-09-06 09:58:59,GUN,NORMAL,30/30/30/30,HG,90,FF FNP9,★★,
2022-09-06 09:58:59,GUN,NORMAL,30/30/30/30,HG,141,Gr USPCompact,★★,
2022-09-06 09:59:03,GUN,NORMAL,30/30/30/30,HG,139,Bren Ten,★★,
2022-09-06 09:59:03,GUN,NORMAL,30/30/30/30,HG,12,C96,★★★,
2022-09-06 09:59:09,EQUIP,SPECIAL_OFFER,60/300/60/260,SLUGSHELL,77,BK Slug,★★,
2022-09-06 09:59:09,EQUIP,SPECIAL_OFFER,60/300/60/260,BUCKSHOT,73,#1 Buckshot,★★,
2022-09-06 09:59:13,EQUIP,SPECIAL_OFFER,60/300/60/260,SLUGSHELL,78,FST Slug,★★★,
2022-09-06 09:59:13,EQUIP,SPECIAL_OFFER,60/300/60/260,BUCKSHOT,74,#0 Buckshot,★★★,
2022-09-06 09:59:15,EQUIP,HEAVY-1,500/500/500/500,REDDOT,10,AMP COMPM4,★★★,
2022-09-06 09:59:15,EQUIP,HEAVY-1,500/500/500/500,NIGHTEQUIP,15,PEQ-15,★★★★,
2022-09-08 11:23:29,GUN,NORMAL,30/30/30/30,HG,5,M1895,★★,
2022-09-08 11:23:29,GUN,NORMAL,30/30/30/30,HG,11,P08,★★★,
2022-09-08 11:23:32,GUN,NORMAL,30/30/30/30,HG,10,PPK,★★,
2022-09-08 11:23:32,GUN,NORMAL,30/30/30/30,HG,10,PPK,★★,
2022-09-08 11:23:40,EQUIP,SPECIAL_OFFER,60/300/60/260,BUCKSHOT,74,#0 Buckshot,★★★,
2022-09-08 11:23:40,EQUIP,SPECIAL_OFFER,60/300/60/260,BUCKSHOT,73,#1 Buckshot,★★,
2022-09-08 11:23:43,EQUIP,SPECIAL_OFFER,30/150/30/130,BUCKSHOT,73,#1 Buckshot,★★,
2022-09-08 11:23:46,EQUIP,SPECIAL_OFFER,30/150/30/130,BUCKSHOT,74,#0 Buckshot,★★★,
2022-09-08 11:23:49,EQUIP,HEAVY-1,500/500/500/500,CHIP,233,#1 Processor,★★★★,
2022-09-08 11:23:50,EQUIP,HEAVY-1,500/500/500/500,FAIRY,8,Artillery Fairy,★,Assault
2022-09-18 12:29:55,GUN,NORMAL,400/91/400/30,RF,34,M1 Garand,★★★,
2022-09-18 12:29:55,GUN,NORMAL,400/91/400/30,RF,40,SVT-38,★★,
2022-09-18 12:29:58,GUN,NORMAL,400/91/400/30,RF,46,Kar98k,★★★★★,
2022-09-18 12:29:58,GUN,NORMAL,400/91/400/30,SMG,33,m45,★★,
2022-09-18 12:30:10,EQUIP,NORMAL,210/210/50/110,SLUGSHELL,77,BK Slug,★★,
2022-09-18 12:30:10,EQUIP,NORMAL,210/210/50/110,SLUGSHELL,77,BK Slug,★★,
2022-09-18 12:30:12,EQUIP,NORMAL,210/210/50/110,CHIP,232,Experimental Processor,★★★,
2022-09-18 12:30:12,EQUIP,NORMAL,210/210/50/110,TEXO,37,IOP T1 Exoskeleton,★★,
2022-09-20 08:03:27,GUN,NORMAL,130/130/130/30,SMG,92,Spectre M4,★★,
2022-09-20 08:03:27,GUN,NORMAL,130/130/130/30,SMG,33,m45,★★,
2022-09-20 08:03:29,GUN,NORMAL,130/130/130/30,SMG,93,IDW,★★,
2022-09-20 08:03:29,GUN,NORMAL,130/130/130/30,HG,354,ZiP .22,★★★★,
2022-09-20 08:03:43,EQUIP,SPECIAL_OFFER,60/300/60/260,SLUGSHELL,77,BK Slug,★★,
2022-09-20 08:03:43,EQUIP,SPECIAL_OFFER,60/300/60/260,SLUGSHELL,78,FST Slug,★★★,
2022-09-20 08:03:47,EQUIP,SPECIAL_OFFER,60/300/60/260,BUCKSHOT,74,#0 Buckshot,★★★,
2022-09-20 08:03:47,EQUIP,SPECIAL_OFFER,60/300/60/260,SLUGSHELL,77,BK Slug,★★,
2022-09-28 19:38:03,GUN,NORMAL,400/91/400/30,RF,40,SVT-38,★★,
2022-09-28 19:38:03,GUN,NORMAL,400/91/400/30,SMG,33,m45,★★,
2022-09-28 19:38:05,GUN,NORMAL,400/91/400/30,SMG,24,PP-2000,★★,
2022-09-28 19:38:06,GUN,NORMAL,400/91/400/30,SMG,94,Type64,★★,
2022-09-28 19:38:17,EQUIP,SPECIAL_OFFER,60/300/60/260,BUCKSHOT,73,#1 Buckshot,★★,
2022-09-28 19:38:17,EQUIP,SPECIAL_OFFER,60/300/60/260,BUCKSHOT,73,#1 Buckshot,★★,
2022-09-28 19:38:24,EQUIP,SPECIAL_OFFER,60/300/60/260,BUCKSHOT,73,#1 Buckshot,★★,
2022-09-28 19:38:24,EQUIP,SPECIAL_OFFER,60/300/60/260,SLUGSHELL,79,WAD Slug,★★★★,
2022-09-28 19:43:44,GUN,HEAVY-1,8000/1000/8000/4000,SG,163,AA-12,★★★★★,
2022-09-28 19:43:47,GUN,HEAVY-1,8000/1000/8000/4000,RF,48,WA2000,★★★★★,
2022-10-17 20:22:32,GUN,NORMAL,400/91/400/30,RF,44,SV-98,★★★,
2022-10-17 20:22:32,GUN,NORMAL,400/91/400/30,SMG,22,PPS-43,★★★,
2022-10-17 20:22:35,GUN,NORMAL,400/91/400/40,RF,42,PTRD,★★★★,
2022-10-17 20:22:35,GUN,NORMAL,400/91/400/40,RF,34,M1 Garand,★★★,
2022-10-17 20:22:41,GUN,HEAVY-1,8000/1000/8000/4000,SG,154,M500,★★★,
2022-10-17 20:23:27,EQUIP,SPECIAL_OFFER,60/300/60/260,SLUGSHELL,78,FST Slug,★★★,
2022-10-17 20:23:27,EQUIP,SPECIAL_OFFER,60/300/60/260,BUCKSHOT,73,#1 Buckshot,★★,
2022-10-17 20:23:30,EQUIP,SPECIAL_OFFER,60/300/60/260,SLUGSHELL,78,FST Slug,★★★,
2022-10-17 20:23:30,EQUIP,SPECIAL_OFFER,60/300/60/260,SLUGSHELL,78,FST Slug,★★★,
2022-11-27 13:04:56,GUN,NORMAL,400/91/400/30,AR,107,FF F2000,★★,
2022-11-27 13:04:57,GUN,NORMAL,400/91/400/30,RF,305,Tabuk,★★★★,
