Datetime,Mission ID,Mission,Mission Attempt,Doll Type,Doll Name,Doll Rarity,Doll Core,Equip Type,Equip Name,Equip Rarity
2023-05-12 23:06:29,11402,mission-10011402,3,HG,Gr USPCompact,2,0,,,
2023-05-12 23:11:03,11402,mission-10011402,4,HG,PPK,2,0,,,
2023-05-12 23:12:07,11402,mission-10011402,4,MG,M1919A4,3,1,,,
2023-05-12 23:17:57,11402,mission-10011402,5,HG,M1895,2,0,,,
2023-05-12 23:18:59,11402,mission-10011402,5,SMG,PPS-43,3,1,,,
2023-07-26 10:26:46,91,Hawk and Hound I,1,RF,SVT-38,2,0,,,
2023-07-26 10:30:38,91,Hawk and Hound I,1,HG,P08,3,1,,,
2023-07-26 10:30:52,91,Hawk and Hound I,1,HG,M1895,2,0,,,
2023-07-26 10:32:23,92,Hawk and Hound II,0,SMG,Spectre M4,2,0,,,
2023-07-26 10:33:23,92,Hawk and Hound II,0,HG,FF FNP9,2,0,,,
2023-07-26 10:34:49,92,Hawk and Hound II,0,AR,Galil,2,0,,,
2023-07-26 10:36:17,92,Hawk and Hound II,0,MG,AAT-52,2,0,,,
2023-07-26 10:37:11,92,Hawk and Hound II,0,SMG,PP-2000,2,0,,,
2023-07-26 10:38:49,92,Hawk and Hound II,0,SMG,M3,2,0,,,
2023-07-26 10:41:15,93,Hawk and Hound III,0,SMG,PPSh-41,2,0,,,
2023-07-26 10:42:46,93,Hawk and Hound III,0,MG,FG42,2,0,,,
2023-07-26 10:44:46,93,Hawk and Hound III,0,MG,FG42,2,0,,,
2023-07-26 10:48:17,93,Hawk and Hound III,0,RF,VM59,2,0,,,
2023-07-26 11:10:32,94,Hawk and Hound IV,0,HG,M9,3,1,,,
2023-07-26 11:12:44,94,Hawk and Hound IV,0,MG,M2HB,3,1,,,
2023-08-17 21:05:12,50,Order to Pursue,6,SMG,M38,2,0,,,
2023-08-17 21:07:47,50,Order to Pursue,6,MG,FG42,2,0,,,
2024-09-29 15:42:37,11435,Labyrinthine Defense+,24,SMG,M3,2,0,,,
