ID,No.,Type,Rarity,Name,Level,Total Exp,Current Exp,Required Exp,Link,MOD,Max HP,HP,Damage,Accuracy,Evasion,Rate of Fire,Move Speed,Armor,Rounds,Crit.Damage,Skill1,Skill2,Equip1,Equip2,Equip3,Affection,Oathed,Oathed Datetime,Locked
402406619,5,HG,★★,M1895,12,6707,0,0,x1,,39,39,14,11,20,31,15,0,0,20,1,0,,,,100,,,Locked
422986391,20012,HG,★★★★,C96 Mod,101,3425399,0,0,x5,Mod1,415,415,31,50,68,63,15,0,0,20,6,0,,,,100,,,Locked
422987282,162,SG,★★★★,SPAS-12,70,708345,0,0,x4,,936,936,27,9,7,29,6,16,4,40,1,0,,,,51,,,Locked
428116435,198,RF,★★★★★,Carcano M91/38,96,2707005,0,0,x5,,355,355,142,87,43,34,7,0,0,40,10,0,,,,100,,,Locked
430022450,95,RF,★★★,Type88,22,25175,0,0,x1,,62,62,54,19,12,24,7,0,0,40,1,0,,,,100,,,Locked
435263231,32,SMG,★★★,Micro Uzi,79,1207664,0,0,x4,,568,568,21,9,65,97,12,0,0,5,1,0,,,,65,,,Locked
435263988,143,SMG,★★★★★,RO635,95,2574865,0,0,x5,,945,945,27,14,68,95,12,0,0,5,9,0,,,,100,,,Locked
437174741,114,HG,★★★★★,Welrod MkⅡ,100,3263300,-,-,x5,,400,400,28,71,90,52,15,0,0,40,1,0,,,,53,,,Locked
437252658,1017,HG,★★★★★,Jill Stingray,10,4725,0,0,x1,,44,44,12,11,19,38,15,0,0,20,1,0,,,,70,,,Locked
439513158,112,MG,★★★★★,Negev,100,3263300,-,-,x5,,870,870,84,35,36,139,4,0,9,5,1,0,Mk211 High-Explosive Armor-Piercing Ammo,VFL 6-24X56,HD-50 Bipod Mk2,50,,,Locked
456609121,46,RF,★★★★★,Kar98k,1,0,0,0,x1,,42,42,45,9,5,22,7,0,0,40,1,0,,,,50,,,Locked
456613755,350,SG,★★★★★,FO-12,1,0,0,0,x1,,128,128,12,2,2,25,6,3,5,40,1,0,,,,51,,,Locked
458417644,382,AR,★★★★,MSBS,100,3263300,-,-,x5,,550,550,51,50,47,72,10,0,0,20,10,0,,,,50,,,Locked
458488683,20104,SMG,★★★★★★,Gr G36c Mod,110,5299841,0,0,x5,Mod2,1070,1070,33,14,70,84,12,0,0,5,10,10,,,,100,,,Locked
458578180,101,SMG,★★★★,UMP9,1,0,0,0,x1,,88,88,10,2,10,60,12,0,0,5,1,0,,,,50,,,Locked
458578195,154,SG,★★★,M500,60,412600,0,0,x3,,633,633,24,8,7,26,6,14,4,40,1,0,,,,86,,,Locked
458578196,1,HG,★★★★,SAA,90,2033456,0,0,x5,,380,380,33,44,69,46,15,0,0,20,8,0,,,,100,,,Locked
458830613,20,SMG,★★★★★,Vector,2,234,0,0,x1,,94,94,13,3,11,72,12,0,0,5,1,0,,,,100,,,Locked
459758067,380,SMG,★★★★,APC9K,90,1986600,0,0,x5,,840,840,25,12,62,95,12,0,0,5,1,0,,,,95,,,Locked
459858195,20,SMG,★★★★★,Vector,1,0,0,0,x1,,93,93,12,2,10,71,12,0,0,5,1,0,,,,50,,,Locked
459886883,53,RF,★★★★★,NTW-20,1,0,0,0,x1,,47,47,56,9,4,20,7,0,0,40,1,0,,,,50,,,Locked
460027032,159,SG,★★★,RMB-93,1,0,0,0,x1,,121,121,12,2,2,20,6,3,4,40,1,0,,,,50,,,Locked
460294001,20228,SMG,★★★★★★,100 Shiki Mod,110,5405838,0,0,x5,Mod2,1140,1140,34,16,80,79,12,0,0,5,10,10,,,,100,,,Locked
460370848,352,SG,★★★★,Nova,1,0,0,0,x1,,132,132,11,2,2,19,6,3,7,40,1,0,,,,50,,,Locked
460383756,352,SG,★★★★,Nova,1,0,0,0,x1,,132,132,11,2,2,19,6,3,7,40,1,0,,,,50,,,Locked
460560360,250,HG,★★★★★,HS2000,1,0,0,0,x1,,36,36,12,8,11,42,15,0,0,20,1,0,,,,50,,,Locked
461060039,65,AR,★★★★★,416,1,0,0,0,x1,,61,61,19,6,6,52,10,0,0,20,1,0,,,,55,,,Locked
461281145,378,AR,★★★★★,SCAR-L,3,468,0,0,x1,,57,57,19,6,7,50,10,0,0,20,10,0,,,,100,,,Locked
462263178,397,SG,★★★★★,Stevens M520,2,234,0,0,x1,,123,123,12,3,3,21,6,3,5,40,1,0,,,,50,,,Locked
462289883,352,SG,★★★★,Nova,1,0,0,0,x1,,132,132,11,2,2,19,6,3,7,40,1,0,,,,50,,,Locked
463985099,1042,HG,★★★★★,Motoko Kusanagi,1,0,0,0,x1,,35,35,10,8,13,41,15,0,1,20,1,0,,,,50,,,Locked
463985127,351,SG,★★★★★,M26-MASS,1,0,0,0,x1,,127,127,13,2,2,20,6,3,5,40,1,0,,,,50,,,Locked
464024555,1043,AR,★★★★★,Purin Esaki,1,0,0,0,x1,,55,55,18,5,6,49,10,0,0,30,1,0,,,,50,,,Locked
465400489,378,AR,★★★★★,SCAR-L,1,0,0,0,x1,,55,55,18,5,6,49,10,0,0,20,1,0,,,,50,,,Locked
465484524,402,RF,★★★★★,Martini-Henry,1,0,0,0,x1,,44,44,44,9,5,23,7,0,0,40,9,0,,,,50,,,Locked
