Area ID,Area Name,Battle Type,Doll ID,Type,Name,Level,MOD,Link,Max HP,Crit.Rate,Crit.Damage,Armor Pen.,Damage,Accuracy,Evasion,Rate of Fire,Armor,Rounds,Recovery,Affection,Oathed,Skill1,Skill2,Equip1,Equip2,Equip3,Combat Effectiveness,Score Prediction (1-Fairy),Score Prediction (2-Fairy),Score Prediction (3-Fairy),Score Prediction (4-Fairy),Rank
914,Ele.4,Day,20055,AR,M4A1 Mod,120,3,5,565,68%,150%,15,98,58,58,100,15,0,0,200,1,10,10,Optical (Acc) (5-Star),HV (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),8230,720,864,1008,1152,1
914,Ele.4,Day,20122,AR,Gr G11 Mod,120,3,5,620,68%,175%,15,96,66,51,97,0,0,0,200,1,10,10,Optical (Acc) (5-Star),HV (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),7851,686,824,961,1099,2
914,Ele.4,Day,20293,AR,AK-15 Mod,120,3,5,595,68%,170%,15,113,63,83,78,0,0,0,200,1,10,10,Optical (Acc) (5-Star),HV (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),7775,680,816,952,1088,3
914,Ele.4,Day,20055,AR,M4A1 Mod,120,3,5,565,68%,150%,15,93,53,53,100,15,0,0,100,0,10,10,Optical (Acc) (5-Star),HV (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),7741,677,812,948,1083,4
914,Ele.4,Day,20205,AR,AN-94 Mod,120,3,5,595,68%,125%,15,104,81,58,105,0,0,0,200,1,10,10,Sp. Eq (Exclusive) (5-Star),HV (Ammo) (5-Star),Processor Chip (Body) (5-Star),7631,667,801,934,1068,5
914,Ele.4,Day,183,HG,Contender,100,0,5,330,70%,150%,195,51,114,111,44,0,0,0,150,1,10,0,RMR (Acc) (5-Star),AP (Ammo) (5-Star),X Exo (Body) (5-Star),4826,663,796,929,1061,6
914,Ele.4,Day,20114,HG,Welrod MkⅡ Mod,120,3,5,410,40%,150%,8,51,87,146,52,5,0,0,200,1,10,10,SF Taclight (Acc) (5-Star),HP (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),4799,659,791,923,1055,7
914,Ele.4,Day,183,HG,Contender,100,0,5,330,70%,150%,195,49,110,107,44,0,0,0,100,0,10,0,RMR (Acc) (5-Star),AP (Ammo) (5-Star),X Exo (Body) (5-Star),4726,649,779,909,1039,8
914,Ele.4,Day,20065,AR,416 Mod,120,3,5,620,45%,160%,15,117,73,75,79,0,0,0,200,1,10,10,Sp. Eq (Exclusive) (5-Star),HV (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),7401,647,777,906,1036,9
914,Ele.4,Day,20122,AR,Gr G11 Mod,120,3,5,620,68%,175%,15,91,61,47,97,0,0,0,100,0,10,10,Optical (Acc) (5-Star),HV (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),7407,648,777,907,1036,10
914,Ele.4,Day,20293,AR,AK-15 Mod,120,3,5,595,68%,170%,15,107,57,77,78,0,0,0,100,0,10,10,Optical (Acc) (5-Star),HV (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),7301,638,766,894,1022,11
914,Ele.4,Day,20114,HG,Welrod MkⅡ Mod,120,3,5,410,40%,150%,8,48,79,136,52,5,0,0,100,0,10,10,SF Taclight (Acc) (5-Star),HP (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),4570,628,754,879,1005,12
914,Ele.4,Day,20205,AR,AN-94 Mod,120,3,5,595,68%,125%,15,98,74,53,105,0,0,0,100,0,10,10,Sp. Eq (Exclusive) (5-Star),HV (Ammo) (5-Star),Processor Chip (Body) (5-Star),7167,627,752,877,1003,13
914,Ele.4,Day,20221,HG,GSh-18 Mod,120,3,5,370,50%,150%,50,55,81,124,61,0,0,0,200,1,10,10,RMR (Acc) (5-Star),Sp. Eq (Exclusive) (5-Star),X Exo (Body) (5-Star),4520,621,745,870,994,14
914,Ele.4,Day,20056,AR,M4 SOPMOD II Mod,120,3,5,565,78%,150%,15,115,73,53,77,0,0,0,200,1,10,10,Optical (Acc) (5-Star),Sp. Eq (Exclusive) (5-Star),HV (Ammo) (5-Star),7098,621,745,869,993,15
914,Ele.4,Day,20097,HG,M950A Mod,120,3,5,400,40%,150%,8,53,66,129,72,0,0,0,200,1,10,10,Sp. Eq (Exclusive) (5-Star),HP (Ammo) (5-Star),X Exo (Body) (5-Star),4464,613,736,859,982,16
914,Ele.4,Day,20065,AR,416 Mod,120,3,5,620,45%,160%,15,111,68,70,79,0,0,0,100,0,10,10,Sp. Eq (Exclusive) (5-Star),HV (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),7016,613,736,859,982,17
914,Ele.4,Day,20216,AR,XM8 Mod,120,3,5,555,20%,100%,15,110,89,56,102,0,0,0,200,1,10,10,Sp. Eq (Exclusive) (5-Star),HV (Ammo) (5-Star),Processor Chip (Body) (5-Star),6895,603,723,844,965,18
914,Ele.4,Day,347,SMG,SR2,100,0,5,1040,5%,100%,195,50,46,72,116,0,0,0,150,1,10,0,Processor Chip (Body) (5-Star),AP (Ammo) (5-Star),Red Dot (Acc) (5-Star),8029,602,722,843,963,19
914,Ele.4,Day,20171,AR,Ribeyrolles Mod,120,3,5,595,20%,100%,15,121,86,49,93,0,0,0,200,1,10,10,Sp. Eq (Exclusive) (5-Star),HV (Ammo) (5-Star),Processor Chip (Body) (5-Star),6844,598,718,838,958,20
914,Ele.4,Day,20008,HG,Makarov Mod,120,3,5,340,40%,150%,15,51,74,163,62,0,0,0,200,1,10,10,Sp. Eq (Exclusive) (5-Star),Sp. Eq (Exclusive) (5-Star),X Exo (Body) (5-Star),4350,598,717,837,957,21
914,Ele.4,Day,20057,AR,ST AR-15 Mod,120,3,5,540,68%,180%,15,108,74,60,68,0,0,0,200,1,10,10,Optical (Acc) (5-Star),Sp. Eq (Exclusive) (5-Star),Sp. Eq (Exclusive) (5-Star),6781,593,712,830,949,22
914,Ele.4,Day,330,AR,FX-05,100,0,5,550,20%,100%,15,103,75,52,90,0,0,0,150,1,10,0,EOT (Holographic) (5-Star),HV (Ammo) (5-Star),Processor Chip (Body) (5-Star),5631,591,709,827,946,23
914,Ele.4,Day,20007,HG,Stechkin Mod,120,3,5,425,70%,150%,8,52,79,100,66,0,0,0,200,1,10,10,RMR (Acc) (5-Star),HP (Ammo) (5-Star),Sp. Eq (Exclusive) (5-Star),4298,590,709,827,945,24
914,Ele.4,Day,20056,AR,M4 SOPMOD II Mod,120,3,5,565,78%,150%,15,110,68,49,77,0,0,0,100,0,10,10,Optical (Acc) (5-Star),Sp. Eq (Exclusive) (5-Star),HV (Ammo) (5-Star),6755,591,709,827,945,25
914,Ele.4,Day,20221,HG,GSh-18 Mod,120,3,5,370,50%,150%,50,51,76,115,61,0,0,0,100,0,10,10,RMR (Acc) (5-Star),Sp. Eq (Exclusive) (5-Star),X Exo (Body) (5-Star),4287,589,707,825,943,26
914,Ele.4,Day,213,SMG,C-MS,100,0,5,925,5%,100%,195,51,47,83,111,0,0,0,150,1,10,0,Processor Chip (Body) (5-Star),AP (Ammo) (5-Star),Red Dot (Acc) (5-Star),7850,588,706,824,942,27
914,Ele.4,Day,347,SMG,SR2,100,0,5,1040,5%,100%,195,48,45,69,116,0,0,0,100,0,10,0,Processor Chip (Body) (5-Star),AP (Ammo) (5-Star),Red Dot (Acc) (5-Star),7840,588,705,823,940,28
914,Ele.4,Day,20097,HG,M950A Mod,120,3,5,400,40%,150%,8,50,60,121,72,0,0,0,100,0,10,10,Sp. Eq (Exclusive) (5-Star),HP (Ammo) (5-Star),X Exo (Body) (5-Star),4243,583,700,816,933,29
914,Ele.4,Day,213,SMG,C-MS,100,0,5,925,5%,100%,195,49,46,79,111,0,0,0,100,0,10,0,Processor Chip (Body) (5-Star),AP (Ammo) (5-Star),Red Dot (Acc) (5-Star),7650,573,688,803,918,30
914,Ele.4,Day,330,AR,FX-05,100,0,5,550,20%,100%,15,100,72,50,90,0,0,0,100,0,10,0,EOT (Holographic) (5-Star),HV (Ammo) (5-Star),Processor Chip (Body) (5-Star),5465,573,688,803,918,31
914,Ele.4,Day,20216,AR,XM8 Mod,120,3,5,555,20%,100%,15,104,84,51,102,0,0,0,100,0,10,10,Sp. Eq (Exclusive) (5-Star),HV (Ammo) (5-Star),Processor Chip (Body) (5-Star),6528,571,685,799,913,32
914,Ele.4,Day,20008,HG,Makarov Mod,120,3,5,340,40%,150%,15,48,68,153,62,0,0,0,100,0,10,10,Sp. Eq (Exclusive) (5-Star),Sp. Eq (Exclusive) (5-Star),X Exo (Body) (5-Star),4146,570,684,798,912,33
914,Ele.4,Day,20012,HG,C96 Mod,120,3,5,425,45%,150%,8,52,60,122,64,0,0,0,200,1,10,10,Sp. Eq (Exclusive) (5-Star),HP (Ammo) (5-Star),X Exo (Body) (5-Star),4144,569,683,797,911,34
914,Ele.4,Day,20171,AR,Ribeyrolles Mod,120,3,5,595,20%,100%,15,115,81,45,93,0,0,0,100,0,10,10,Sp. Eq (Exclusive) (5-Star),HV (Ammo) (5-Star),Processor Chip (Body) (5-Star),6505,569,683,796,910,35
