Item ID,Item Name,Item Number
-1,reg_time,2022-11-10 21:22:03
item-10,Dummy Core,3
item-31,Basic Training Data,70
item-32,Intermediate Training Data,0
item-33,Advanced Training Data,0
-1,kalina_level,0
-1,kalina_favor,0
item-1,T-Doll Contract,1
item-3,Quick Production Contract,1
item-4,Quick Repair Contract,2
item-507,Surplus EXP,14
furniture-10100,Dusty Workbench,0
furniture-10200,Dusty Cat Bed,0
furniture-10300,Dusty Doghouse,0
furniture-10400,Dust-Covered Bird Stand,0
furniture-10500,Dusty Multifunctional Cage,0
furniture-20100,Dusty Desk,0
furniture-20200,Dusty Console,0
furniture-20300,Dusty Operating Station,0
furniture-20400,Dusty Data Table,0
furniture-20500,Dusty Computer,0
furniture-20600,Dusty Fax Machine,0
furniture-20700,Bookshelf of Memories,0
furniture-30100,Barren Valley,0
furniture-30200,Dusty Railway Model,0
furniture-30300,Warehouse Model Foundation,0
furniture-30400,Blank Weather System,0
furniture-40009,Luffberry chess,0
furniture-40023,Cafe Bar Coffee Machine,0
furniture-40024,Gramophone,0
furniture-40026,Notebook,0
furniture-40027,Projector,0
furniture-40028,Comic Stand,0
furniture-50100,Dusty Listening Post,0
furniture-50200,Dusty Mission Briefing Station,0
furniture-50300,Dusty Storage Equipment,0
furniture-50400,Dusty Analyzer,0
furniture-60100,Storeroom,0
furniture-60200,Basic Maintenance Machinery,0
furniture-60300,Integrated Indoor Training Range,0
furniture-60400,Elevator - To the camp,0
furniture-70003,furniture_establish-10070003,0
furniture-70004,furniture_establish-10070004,0
furniture-70005,furniture_establish-10070005,0
furniture-70006,furniture_establish-10070006,0
furniture-70007,furniture_establish-10070007,0
furniture-70008,furniture_establish-10070008,0
furniture-70009,furniture_establish-10070009,0
furniture-70010,furniture_establish-10070010,0
furniture-70100,Elevator - To the garage,0
furniture-80007,Real Time Relay Terminal,0
furniture-80011,Black Market Shop,0
furniture-80100,Dusty Gate Console,0
furniture-80300,Elementary Loot Rack,0
furniture-90100,Impulse Reactor,0
furniture-90200,Tactical Chip Research Station,0
furniture-90400,Symmetric Infusion Drive,0
