Item ID,Item Name,Item Number
-1,reg_time,2020-06-17 19:45:24
item-10,Dummy Core,1772
item-31,Basic Training Data,4867
item-32,Intermediate Training Data,10225
item-33,Advanced Training Data,7749
-1,kalina_level,19
-1,kalina_favor,11861
item-1,T-Doll Contract,788
item-2,Equipment Contract,591
item-3,Quick Production Contract,331
item-4,Quick Repair Contract,1402
item-7,Oath Certificate,1
item-8,Quick Training Contract,0
item-9,Enhancement Capsule,1998
item-11,Key Card,0
item-12,Points,0
item-14,Original Sample,2690
item-15,Pure Sample,1070
item-16,Quick Analysis Contract,117
item-17,Data Patch,0
item-41,Token,417
item-42,Exchange Ticket,0
item-44,Calibration Ticket,5472
item-45,Memory Fragment,5496
item-46,Special Combat Report,2866
item-47,Theater Material,8
item-50,Universal Parts,1731
item-51,New Type Fire-Control Component,42
item-57,Energy,4000
item-60,Component Processing Package,0
item-105,Sangvis-Griffin Coalition Medal,2
item-106,Chess Champion Medal,5
item-121,Navigator of the Deep Lake,1
item-131,Mirror Image Recurser Medal,1
item-132,Time Redeemer Medal,1
item-136,Choice of Eternal Return Medal,1
item-138,Eye of the Witness Medal,1
item-139,Deadlock Breaker Medal,1
item-140,Theater 13 Pioneer Medal,1
item-142,Isolation Forest Guardian Medal,2
item-143,Light Chaser Medal,1
item-144,Fire in the Ashes Medal,1
item-301,Central Data: BGM-71,0
item-302,Central Data: AGS-30,0
item-303,Central Data: 2B14,0
item-304,Central Data: M2,0
item-305,Central Data: AT4,0
item-306,Central Data: QLZ-04,0
item-307,Central Data: Mk 153,0
item-308,Central Data: PP93,0
item-310,Central Data: RPG-29,0
item-311,Central Data: L9A1,4
item-506,Battery,5042
item-507,Surplus EXP,631899
item-508,Friendship Points,4730
item-509,Fairy Command,140
item-512,Supernova Kernel,490
item-513,Dark Star Kernel,35600
item-514,Petri Dish,3442
item-515,Basic Training Keycode,10608
item-516,Advanced Training Keycode,10301
item-517,Specified Equipment Contract,34
item-519,HOC General Data,0
item-525,Quick Auto-Battle Contract,241
item-528,Heart Rate Tool,50
item-530,Signal Tool,90
item-531,item-10000531,5
item-532,item-10000532,3
item-533,item-10000533,11
item-534,item-10000534,19
item-601,Infinite Surprise Dye,25
item-603,Potential Energy,0
item-604,Electronic Impulse,14
item-605,Aid Commission,45
item-606,Transfer Catalyst,212
item-1001,AAT-52 Icon,1
item-1003,IDW Icon,1
item-1007,M38 Icon,1
item-1009,G17 Icon,1
item-1010,Makarov Icon,1
item-1013,AR15 Icon,1
item-1015,Gr MP5 Icon,1
item-1019,OTs-14 Icon,1
item-1031,Bren Icon,1
item-1033,KS-23 Icon,1
item-1034,M9 Icon,1
item-1035,M1919A4 Icon,1
item-1036,Ingram Icon,1
item-1037,Micro Uzi Icon,1
item-1041,STEN Mk II Icon,1
item-1043,Gr G36 Icon,1
item-1047,UMP45 Icon,1
item-1049,M99 Icon,1
item-1058,FF FNP9 Icon,1
item-1060,LWMMG Icon,1
item-1061,M3 Icon,1
item-1062,M1895 Icon,1
item-1065,M1 Garand Icon,1
item-1066,M2HB Icon,1
item-1067,M21 Icon,1
item-1071,M60 Icon,1
item-1072,Gr Mk23 Icon,1
item-1264,M4A1 Neural Upgrade Icon,1
item-1811,Icon: Ephemeral Dream,1
item-1901,Background: Moonlit Celebration,1
item-2013,Icon: Birth of Starlight,1
item-2014,Icon: Raise a Glass in Joyful Song,1
item-2015,Icon: Walking in Solitude,1
item-2016,Icon: Best Partner,1
item-2017,Icon: Setting Sail,1
item-2018,Icon: Friend of Pure Loyalty,1
item-2019,ID: Screen Breakers,1
item-2111,Icon: First Ever Lycan Tour!,1
item-2112,Icon: Overheat!,1
item-2194,Icon: Gag Genius,1
item-2198,Icon: Superb Writer,1
item-2199,Icon: Paycheck to Paycheck,1
item-2203,ID: Neon Twilight,1
item-2287,Icon: Figure in the Mirror,1
item-2288,Icon: Baldr's Return,1
item-2289,Icon: Into Darkness,1
item-2290,Icon: The Fall of Kepler-78b,1
item-2291,Icon: Story Thief,1
item-2292,Icon: Character in a Story,1
item-2293,Icon: Hodur's Return,1
item-2294,Icon: Walking Against the Light,1
item-2295,ID: Oath of Honor,1
item-2296,ID: Endless Song,1
item-2297,ID: Silent Port of Spirits,1
item-2298,ID: Dawn is Nigh,1
item-2299,Background: Phonograph Museum,1
item-2500,Icon: Drunken Flush,1
item-2516,ID: Butterfly Wings and the Prisoner,1
item-2517,Background: Maze of Forking Paths,1
item-2518,Background: Above the Vortex  Below the Abyss,1
item-2519,Background: Dismembered Void,1
item-2527,Icon: Mephisopheles' Radiance,1
item-2529,ID: Silent Night on the Main,1
item-2532,Background: Alte Oper,1
item-2552,ID: Unreachable,1
item-2553,ID: Close to the Sky,1
item-2577,Icon: Absolved Doctor,1
item-2580,Background: Morning Stroll on a Snowy Path,1
item-2613,item-10002613,1
item-2614,item-10002614,1
item-2617,item-10002617,1
item-2618,item-10002618,1
