Area ID,Area Name,Battle Type,Echelon,Preset
1014,Ele.4,Day,1,MXwyLTktMC0wLTA7NS04LTAtMC0wOzktNy0wLTAtMHww
1018,Ele.8,Day,1,MXwyLTktMC0wLTA7NS04LTAtMC0wOzktNy0wLTAtMHww
1024,Int.4,Day,1,MXwyLTktMC0wLTA7NS04LTAtMC0wOzktNy0wLTAtMHww
1028,Int.8,Day,1,MXwyLTktMC0wLTA7NS04LTAtMC0wOzktNy0wLTAtMHww
1033,Adv.3,Day,1,MXwyLTktMC0wLTA7NS04LTAtMC0wOzktNy0wLTAtMHww
1036,Adv.6,Night,1,MXwyLTktMC0wLTA7NS04LTAtMC0wOzktNy0wLTAtMHww
1038,Adv.8,Day,1,MXwyLTktMC0wLTA7NS04LTAtMC0wOzktNy0wLTAtMHww
1043,Core3,Day,1,MXwyLTktMC0wLTA7NS04LTAtMC0wOzktNy0wLTAtMHww
1046,Core6,Day,1,MXwyLTktMC0wLTA7NS04LTAtMC0wOzktNy0wLTAtMHww
1048,Core8,Day,1,MXwyLTktMC0wLTA7NS04LTAtMC0wOzktNy0wLTAtMHww
