Item ID,Item Name,Item Number
-1,reg_time,2019-03-08 18:01:08
item-10,Dummy Core,7918
item-31,Basic Training Data,8419
item-32,Intermediate Training Data,6903
item-33,Advanced Training Data,9911
-1,kalina_level,26
-1,kalina_favor,66861
item-1,T-Doll Contract,2416
item-2,Equipment Contract,8697
item-3,Quick Production Contract,2117
item-4,Quick Repair Contract,10747
item-5,Daily Pause Permit,1
item-7,Oath Certificate,9
item-8,Quick Training Contract,636
item-9,Enhancement Capsule,8366
item-11,Key Card,0
item-12,Points,0
item-13,Name Change Card,1
item-14,Original Sample,35039
item-15,Pure Sample,31778
item-16,Quick Analysis Contract,546
item-17,Data Patch,0
item-41,Token,5668
item-42,Exchange Ticket,0
item-43,Black Card,18
item-44,Calibration Ticket,9427
item-45,Memory Fragment,7359
item-46,Special Combat Report,19870
item-47,Theater Material,1
item-50,Universal Parts,4884
item-51,New Type Fire-Control Component,78
item-53,Gachapon Ticket,170
item-57,Energy,12640
item-60,Component Processing Package,4569
item-100,Elite Griffin Combat Medal,8
item-101,Combat Ranking Medal,119
item-103,Challenger Medal,42
item-104,Elite Adventurer Medal,5
item-105,Sangvis-Griffin Coalition Medal,10
item-106,Chess Champion Medal,162
item-107,Wind-Calmer's Medal,1
item-108,Hell-Walker's Medal,1
item-109,8th Theater Pioneer Medal,1
item-110,8th Theater Conqueror Medal,1
item-111,Chaos Render Medal,1
item-112,Iron Storm,1
item-113,Longitudinal Dominator Medal,2
item-114,9th Theater Pioneer Medal,1
item-115,9th Theater Conqueror Medal,1
item-116,Destroyer of the End Medal,1
item-117,Eclipse Observer,1
item-118,Golden Mic Music Medal,1
item-119,Theater 10 Pioneer Medal,1
item-120,Theater 10 Conqueror Medal,1
item-121,Navigator of the Deep Lake,1
item-122,Snow Line in the Sea Medal,1
item-123,End of the Labyrinth Medal,2
item-128,Theater 11 Pioneer Medal,1
item-129,Theater 11 Conqueror Medal,1
item-131,Mirror Image Recurser Medal,1
item-132,Time Redeemer Medal,1
item-134,Theater 12 Pioneer Medal,1
item-135,Theater 12 Conqueror Medal,1
item-136,item-10000136,1
item-140,Theater 13 Pioneer Medal,1
item-141,Theater 13 Conqueror Medal,1
item-302,Central Data: AGS-30,0
item-304,Central Data: M2,0
item-305,Central Data: AT4,0
item-306,Central Data: QLZ-04,0
item-307,Central Data: Mk 153,0
item-308,Central Data: PP93,0
item-309,Central Data: Mk 47,22
item-310,Core Data: RPG-29,0
item-506,Battery,9985
item-507,Surplus EXP,1261666
item-508,Friendship Points,6840
item-509,Fairy Command,200
item-510,Combat Sim Extra Energy,20
item-512,Supernova Kernel,2020
item-513,Dark Star Kernel,100975
item-514,Petri Dish,21512
item-515,Basic Training Keycode,42637
item-516,Advanced Training Keycode,55953
item-517,Specified Equipment Contract,0
item-519,HOC General Data,0
item-520,Frag Grenade,38
item-521,Stun Grenade,32
item-522,Turret,15
item-523,G&K,1
item-524,Goliath Projectile,1
item-525,Quick Auto-Battle Contract,2223
item-528,Heart Rate Tool,50
item-530,Signal Tool,90
item-601,Infinite Surprise Dye,211
